id,file_name,frame_num,seq_id,width,height,corrupt,location,seq_num_frames,datetime,full_path,annotation_id,category_id,season,subject_id,count,standing,resting,moving,interacting,young_present,species_name
S5/D02/D02_R1/S5_D02_R1_IMAG2941,S5/D02/D02_R1/S5_D02_R1_IMAG2941.JPG,1,SER_S5#D02#1#1079,2048,1536,False,D02,3,2012-07-04 11:22:29,../data/serengeti/images/S5_D02_R1_IMAG2941.JPG,1f8b35fd-91f8-11e9-a8ae-000d3a198845,5,S5,ASG000nqz1,8,1.0,0.1,0.0,0.0,0.1,zebra
S5/G02/G02_R1/S5_G02_R1_IMAG0396,S5/G02/G02_R1/S5_G02_R1_IMAG0396.JPG,2,SER_S5#G02#1#154,2048,1536,False,G02,3,2012-06-24 08:31:42,../data/serengeti/images/S5_G02_R1_IMAG0396.JPG,20b2ef08-91f8-11e9-98b8-000d3a198845,5,S5,ASG000p7gg,6,0.4,0.0,0.0,0.0,0.0,zebra
S3/K11/K11_R12/S3_K11_R12_IMAG0192,S3/K11/K11_R12/S3_K11_R12_IMAG0192.JPG,1,SER_S3#K11#12#76,2048,1536,False,K11,3,2011-11-16 17:40:50,../data/serengeti/images/S3_K11_R12_IMAG0192.JPG,19e23e52-91f8-11e9-a2ff-000d3a198845,5,S3,ASG000ae7r,2,0.33,0.08,0.08,0.0,0.0,zebra
S2/I05/I05_R1/S2_I05_R1_IMAG0871,S2/I05/I05_R1/S2_I05_R1_IMAG0871.JPG,1,SER_S2#I05#1#307,2048,1536,False,I05,3,2011-03-17 12:38:01,../data/serengeti/images/S2_I05_R1_IMAG0871.JPG,15fc2a66-91f8-11e9-8c5a-000d3a198845,5,S2,ASG0005sfv,11-50,0.8,0.1,0.1,0.0,0.0,zebra
S4/G02/G02_R1/S4_G02_R1_IMAG0812,S4/G02/G02_R1/S4_G02_R1_IMAG0812.JPG,1,SER_S4#G02#1#348,2048,1536,False,G02,3,2012-02-13 18:37:15,../data/serengeti/images/S4_G02_R1_IMAG0812.JPG,1c3223a1-91f8-11e9-833e-000d3a198845,5,S4,ASG000ce39,3,0.0,0.0,1.0,0.0,0.05,zebra
S6/U10/U10_R1/S6_U10_R1_IMAG0653,S6/U10/U10_R1/S6_U10_R1_IMAG0653.JPG,2,SER_S6#U10#1#230,2048,1536,False,U10,3,2013-02-10 13:43:22,../data/serengeti/images/S6_U10_R1_IMAG0653.JPG,27eb8933-91f8-11e9-8b7e-000d3a198845,5,S6,ASG0011qvm,3,0.89,0.03,0.14,0.05,0.03,zebra
S4/U13/U13_R2/S4_U13_R2_IMAG2550,S4/U13/U13_R2/S4_U13_R2_IMAG2550.JPG,1,SER_S4#U13#2#952,2048,1536,False,U13,3,2012-04-20 10:48:42,../data/serengeti/images/S4_U13_R2_IMAG2550.JPG,1eb9423d-91f8-11e9-8eb2-000d3a198845,5,S4,ASG000b5r0,11-50,0.67,0.08,0.75,0.33,0.33,zebra
S6/J02/J02_R1/S6_J02_R1_IMAG0123,S6/J02/J02_R1/S6_J02_R1_IMAG0123.JPG,1,SER_S6#J02#1#51,2048,1536,False,J02,3,2012-12-02 18:28:55,../data/serengeti/images/S6_J02_R1_IMAG0123.JPG,264775fe-91f8-11e9-9cd2-000d3a198845,5,S6,ASG000zsy1,2,0.35,0.0,0.04,0.0,0.0,zebra
S3/R06/R06_R11/S3_R06_R11_IMAG1112,S3/R06/R06_R11/S3_R06_R11_IMAG1112.JPG,3,SER_S3#R06#11#442,2048,1536,False,R06,3,2011-11-05 09:01:00,../data/serengeti/images/S3_R06_R11_IMAG1112.JPG,1aa9d263-91f8-11e9-92a7-000d3a198845,5,S3,ASG0008r4j,3,0.79,0.21,0.07,0.07,0.0,zebra
S3/O05/O05_R11/S3_O05_R11_IMAG0113,S3/O05/O05_R11/S3_O05_R11_IMAG0113.JPG,1,SER_S3#O05#11#69,2048,1536,False,O05,3,2011-10-15 06:28:15,../data/serengeti/images/S3_O05_R11_IMAG0113.JPG,1a47b4fb-91f8-11e9-92da-000d3a198845,5,S3,ASG0008mew,2,0.36,0.0,0.09,0.18,0.0,zebra
S3/D09/D09_R11/S3_D09_R11_IMAG0219,S3/D09/D09_R11/S3_D09_R11_IMAG0219.JPG,2,SER_S3#D09#11#80,2048,1536,False,D09,3,2011-11-19 11:16:29,../data/serengeti/images/S3_D09_R11_IMAG0219.JPG,185164cd-91f8-11e9-b038-000d3a198845,5,S3,ASG0008zs8,3,0.0,0.0,0.08,0.0,0.0,zebra
S5/U10/U10_R3/S5_U10_R3_IMAG0292,S5/U10/U10_R3/S5_U10_R3_IMAG0292.JPG,1,SER_S5#U10#3#106,2048,1536,False,U10,3,2012-11-06 09:22:21,../data/serengeti/images/S5_U10_R3_IMAG0292.JPG,24975582-91f8-11e9-85d2-000d3a198845,5,S5,ASG000tsrr,1,0.0,0.0,1.0,0.0,0.0,zebra
S5/B06/B06_R3/S5_B06_R3_IMAG0063,S5/B06/B06_R3/S5_B06_R3_IMAG0063.JPG,2,SER_S5#B06#3#29,2048,1536,False,B06,3,2012-10-14 12:17:04,../data/serengeti/images/S5_B06_R3_IMAG0063.JPG,1ecdb252-91f8-11e9-b968-000d3a198845,5,S5,ASG000n2bq,4,0.8,0.0,0.0,0.0,0.0,zebra
S3/J12/J12_R11/S3_J12_R11_IMAG1123,S3/J12/J12_R11/S3_J12_R11_IMAG1123.JPG,1,SER_S3#J12#11#417,2048,1536,False,J12,3,2011-11-05 09:15:13,../data/serengeti/images/S3_J12_R11_IMAG1123.JPG,19b2a2c8-91f8-11e9-af29-000d3a198845,5,S3,ASG0008f8a,5,0.69,0.0,0.62,0.15,0.0,zebra
S4/S13/S13_R2/S4_S13_R2_IMAG0799,S4/S13/S13_R2/S4_S13_R2_IMAG0799.JPG,2,SER_S4#S13#2#276,2048,1536,False,S13,3,2012-03-04 11:13:51,../data/serengeti/images/S4_S13_R2_IMAG0799.JPG,1e7e0bdf-91f8-11e9-a5d3-000d3a198845,5,S4,ASG000diat,2,0.19,0.0,0.0,0.0,0.0,zebra
S2/H02/H02_R1/S2_H02_R1_IMAG0691,S2/H02/H02_R1/S2_H02_R1_IMAG0691.JPG,3,SER_S2#H02#1#259,2048,1536,False,H02,3,2011-03-11 14:24:21,../data/serengeti/images/S2_H02_R1_IMAG0691.JPG,159ca51f-91f8-11e9-805d-000d3a198845,5,S2,ASG0005iiv,2,0.91,0.0,0.0,0.45,0.0,zebra
S2/C10/C10_R1/S2_C10_R1_PICT0158,S2/C10/C10_R1/S2_C10_R1_PICT0158.JPG,1,SER_S2#C10#1#54,2048,1536,False,C10,3,2011-03-02 17:36:37,../data/serengeti/images/S2_C10_R1_PICT0158.JPG,142399a9-91f8-11e9-a751-000d3a198845,5,S2,ASG0003t5t,1,0.5,0.0,0.3,0.0,0.0,zebra
S4/H02/H02_R1/S4_H02_R1_IMAG1031,S4/H02/H02_R1/S4_H02_R1_IMAG1031.JPG,3,SER_S4#H02#1#403,2048,1536,False,H02,3,2012-02-17 14:16:46,../data/serengeti/images/S4_H02_R1_IMAG1031.JPG,1c5e616a-91f8-11e9-a77b-000d3a198845,5,S4,ASG000dvqa,4,0.94,0.1,0.1,0.19,0.23,zebra
S6/F03/F03_R1/S6_F03_R1_IMAG0060,S6/F03/F03_R1/S6_F03_R1_IMAG0060.JPG,2,SER_S6#F03#1#37,2048,1536,False,F03,3,2012-11-28 17:11:38,../data/serengeti/images/S6_F03_R1_IMAG0060.JPG,25914536-91f8-11e9-832a-000d3a198845,5,S6,ASG000yxz9,2,0.24,0.0,0.06,0.0,0.0,zebra
S2/R09/R09_R1/S2_R09_R1_IMAG0403,S2/R09/R09_R1/S2_R09_R1_IMAG0403.JPG,2,SER_S2#R09#1#138,2048,1536,False,R09,3,2011-03-25 14:21:56,../data/serengeti/images/S2_R09_R1_IMAG0403.JPG,17a87aff-91f8-11e9-89f6-000d3a198845,5,S2,ASG0006nwe,11-50,0.09,0.09,1.0,0.0,0.0,zebra
S6/S12/S12_R2/S6_S12_R2_IMAG4657,S6/S12/S12_R2/S6_S12_R2_IMAG4657.JPG,2,SER_S6#S12#2#1660,2560,1920,False,S12,3,2013-04-08 10:58:31,../data/serengeti/images/S6_S12_R2_IMAG4657.JPG,27b33ae3-91f8-11e9-9b22-000d3a198845,5,S6,ASG0011had,7,0.21,0.0,0.42,0.0,0.0,zebra
S5/K07/K07_R3/S5_K07_R3_IMAG1116,S5/K07/K07_R3/S5_K07_R3_IMAG1116.JPG,1,SER_S5#K07#3#448,2048,1536,False,K07,3,2012-11-19 12:16:01,../data/serengeti/images/S5_K07_R3_IMAG1116.JPG,21f8dc70-91f8-11e9-80b5-000d3a198845,5,S5,ASG000qua4,1,0.4,0.0,0.7,0.0,0.0,zebra
S5/P13/P13_R3/S5_P13_R3_IMAG0858,S5/P13/P13_R3/S5_P13_R3_IMAG0858.JPG,2,SER_S5#P13#3#287,2048,1536,False,P13,3,2012-11-06 17:43:41,../data/serengeti/images/S5_P13_R3_IMAG0858.JPG,23ae7ba9-91f8-11e9-89e7-000d3a198845,5,S5,ASG000ssyr,1,0.8,0.1,0.3,0.0,0.0,zebra
S2/F06/F06_R3/S2_F06_R3_IMAG0320,S2/F06/F06_R3/S2_F06_R3_IMAG0320.JPG,2,SER_S2#F06#3#119,2048,1536,False,F06,3,2011-05-13 11:36:34,../data/serengeti/images/S2_F06_R3_IMAG0320.JPG,1506094b-91f8-11e9-8dfb-000d3a198845,5,S2,ASG0004ubx,1,0.2,0.0,0.6,0.2,0.0,zebra
S5/H02/H02_R1/S5_H02_R1_IMAG1466,S5/H02/H02_R1/S5_H02_R1_IMAG1466.JPG,3,SER_S5#H02#1#522,2048,1536,False,H02,3,2012-06-25 12:40:57,../data/serengeti/images/S5_H02_R1_IMAG1466.JPG,20f500e3-91f8-11e9-baad-000d3a198845,5,S5,ASG000plse,1,0.0,0.0,1.0,0.0,0.0,zebra
S5/B08/B08_R1/S5_B08_R1_IMAG0249,S5/B08/B08_R1/S5_B08_R1_IMAG0249.JPG,3,SER_S5#B08#1#84,2048,1536,False,B08,3,2012-06-02 10:19:37,../data/serengeti/images/S5_B08_R1_IMAG0249.JPG,1ee33669-91f8-11e9-aa5c-000d3a198845,5,S5,ASG000n5pj,1,0.08,0.0,0.0,0.0,0.0,zebra
S4/T11/T11_R2/S4_T11_R2_IMAG0278,S4/T11/T11_R2/S4_T11_R2_IMAG0278.JPG,3,SER_S4#T11#2#96,2048,1536,False,T11,3,2012-02-29 11:26:39,../data/serengeti/images/S4_T11_R2_IMAG0278.JPG,1e85608b-91f8-11e9-a67b-000d3a198845,5,S4,ASG000en6r,3,0.94,0.06,0.0,0.06,0.0,zebra
S4/S13/S13_R2/S4_S13_R2_IMAG0789,S4/S13/S13_R2/S4_S13_R2_IMAG0789.JPG,1,SER_S4#S13#2#273,2048,1536,False,S13,3,2012-03-04 11:10:25,../data/serengeti/images/S4_S13_R2_IMAG0789.JPG,1e7de532-91f8-11e9-8ead-000d3a198845,5,S4,ASG000di6w,1,0.04,0.0,0.71,0.0,0.0,zebra
S5/F03/F03_R1/S5_F03_R1_IMAG3558,S5/F03/F03_R1/S5_F03_R1_IMAG3558.JPG,2,SER_S5#F03#1#1327,2048,1536,False,F03,3,2012-07-01 16:18:53,../data/serengeti/images/S5_F03_R1_IMAG3558.JPG,208687ce-91f8-11e9-8edd-000d3a198845,5,S5,ASG000p064,2,0.1,0.0,0.8,0.0,0.0,zebra
S3/I11/I11_R12/S3_I11_R12_IMAG0106,S3/I11/I11_R12/S3_I11_R12_IMAG0106.JPG,3,SER_S3#I11#12#40,2048,1536,False,I11,3,2011-11-20 07:12:50,../data/serengeti/images/S3_I11_R12_IMAG0106.JPG,19687922-91f8-11e9-a1da-000d3a198845,5,S3,ASG000a2fy,2,0.41,0.05,0.14,0.0,0.0,zebra
S3/H08/H08_R11/S3_H08_R11_IMAG0092,S3/H08/H08_R11/S3_H08_R11_IMAG0092.JPG,1,SER_S3#H08#11#38,2048,1536,False,H08,3,2011-09-19 13:06:08,../data/serengeti/images/S3_H08_R11_IMAG0092.JPG,190a2df5-91f8-11e9-88d4-000d3a198845,5,S3,ASG00085si,3,0.29,0.0,0.05,0.05,0.0,zebra
S5/B10/B10_R3/S5_B10_R3_IMAG0159,S5/B10/B10_R3/S5_B10_R3_IMAG0159.JPG,2,SER_S5#B10#3#58,2048,1536,False,B10,3,2012-10-29 12:20:44,../data/serengeti/images/S5_B10_R3_IMAG0159.JPG,1efc8c44-91f8-11e9-9bd6-000d3a198845,5,S5,ASG000n9lb,1,0.0,0.0,1.0,0.0,0.0,zebra
S6/T11/T11_R2/S6_T11_R2_IMAG0402,S6/T11/T11_R2/S6_T11_R2_IMAG0402.JPG,2,SER_S6#T11#2#147,2048,1536,False,T11,3,2013-04-09 11:00:11,../data/serengeti/images/S6_T11_R2_IMAG0402.JPG,27cc1a85-91f8-11e9-ac30-000d3a198845,5,S6,ASG0011ln5,1,0.06,0.03,0.88,0.0,0.0,zebra
S3/H12/H12_R12/S3_H12_R12_IMAG0046,S3/H12/H12_R12/S3_H12_R12_IMAG0046.JPG,1,SER_S3#H12#12#16,2048,1536,False,H12,1,2011-11-07 18:38:12,../data/serengeti/images/S3_H12_R12_IMAG0046.JPG,1926b66e-91f8-11e9-9b0a-000d3a198845,5,S3,ASG0009uaq,2,0.22,0.0,0.0,0.0,0.0,zebra
S5/J01/J01_R1/S5_J01_R1_IMAG0300,S5/J01/J01_R1/S5_J01_R1_IMAG0300.JPG,2,SER_S5#J01#1#100,2048,1536,False,J01,3,2012-07-02 16:51:00,../data/serengeti/images/S5_J01_R1_IMAG0300.JPG,21a6ebd8-91f8-11e9-b9f3-000d3a198845,5,S5,ASG000qfuk,3,0.6,0.0,0.5,0.0,0.1,zebra
S4/D02/D02_R1/S4_D02_R1_IMAG1057,S4/D02/D02_R1/S4_D02_R1_IMAG1057.JPG,3,SER_S4#D02#1#361,2048,1536,False,D02,3,2012-02-16 08:46:43,../data/serengeti/images/S4_D02_R1_IMAG1057.JPG,1b75d6af-91f8-11e9-acca-000d3a198845,5,S4,ASG000bbxm,2,0.06,0.0,1.0,0.0,0.0,zebra
S5/H04/H04_R1/S5_H04_R1_IMAG0409,S5/H04/H04_R1/S5_H04_R1_IMAG0409.JPG,1,SER_S5#H04#1#208,2048,1536,False,H04,1,2012-06-28 04:09:35,../data/serengeti/images/S5_H04_R1_IMAG0409.JPG,2102bd1e-91f8-11e9-9784-000d3a198845,5,S5,ASG000po81,2,0.7,0.2,0.3,0.0,0.0,zebra
S2/C05/C05_R3/S2_C05_R3_IMAG1080,S2/C05/C05_R3/S2_C05_R3_IMAG1080.JPG,3,SER_S2#C05#3#408,2048,1536,False,C05,3,2011-06-16 08:22:49,../data/serengeti/images/S2_C05_R3_IMAG1080.JPG,140a1e26-91f8-11e9-9f96-000d3a198845,5,S2,ASG0003ozy,10,0.33,0.0,0.47,0.0,0.0,zebra
S4/P04/P04_R2/S4_P04_R2_IMAG0139,S4/P04/P04_R2/S4_P04_R2_IMAG0139.JPG,3,SER_S4#P04#2#73,2048,1536,False,P04,3,2012-04-01 18:38:24,../data/serengeti/images/S4_P04_R2_IMAG0139.JPG,1df505b7-91f8-11e9-8909-000d3a198845,5,S4,ASG000e43t,2,0.21,0.0,0.79,0.0,0.0,zebra
S6/B07/B07_R2/S6_B07_R2_IMAG0850,S6/B07/B07_R2/S6_B07_R2_IMAG0850.JPG,2,SER_S6#B07#2#330,2048,1536,False,B07,3,2013-03-24 09:45:10,../data/serengeti/images/S6_B07_R2_IMAG0850.JPG,24cfa34f-91f8-11e9-81a6-000d3a198845,5,S6,ASG000y3af,11-50,0.67,0.03,0.53,0.0,0.0,zebra
S5/G02/G02_R1/S5_G02_R1_IMAG0834,S5/G02/G02_R1/S5_G02_R1_IMAG0834.JPG,2,SER_S5#G02#1#300,2048,1536,False,G02,3,2012-06-24 13:59:59,../data/serengeti/images/S5_G02_R1_IMAG0834.JPG,20b3d774-91f8-11e9-866c-000d3a198845,5,S5,ASG000p7ko,7,0.9,0.0,0.0,0.1,0.6,zebra
S4/R10/R10_R2/S4_R10_R2_IMAG0218,S4/R10/R10_R2/S4_R10_R2_IMAG0218.JPG,3,SER_S4#R10#2#126,2048,1536,False,R10,3,2012-03-10 09:34:10,../data/serengeti/images/S4_R10_R2_IMAG0218.JPG,1e3c9806-91f8-11e9-9406-000d3a198845,5,S4,ASG000fhzp,1,0.0,0.0,1.0,0.0,0.0,zebra
S5/C13/C13_R1/S5_C13_R1_IMAG1925,S5/C13/C13_R1/S5_C13_R1_IMAG1925.JPG,1,SER_S5#C13#1#710,2048,1536,False,C13,3,2012-07-22 08:31:47,../data/serengeti/images/S5_C13_R1_IMAG1925.JPG,1f7e1851-91f8-11e9-b618-000d3a198845,5,S5,ASG000np0q,5,0.0,0.0,0.9,0.0,0.0,zebra
S2/D02/D02_R4/S2_D02_R4_IMAG1972,S2/D02/D02_R4/S2_D02_R4_IMAG1972.JPG,3,SER_S2#D02#4#802,2048,1536,False,D02,3,2011-07-16 17:24:08,../data/serengeti/images/S2_D02_R4_IMAG1972.JPG,143f10d1-91f8-11e9-a974-000d3a198845,5,S2,ASG0003y9f,1,0.0,0.0,1.0,0.0,0.0,zebra
S5/T12/T12_R4/S5_T12_R4_IMAG1245,S5/T12/T12_R4/S5_T12_R4_IMAG1245.JPG,2,SER_S5#T12#4#434,2048,1536,False,T12,3,2012-12-12 11:19:56,../data/serengeti/images/S5_T12_R4_IMAG1245.JPG,24679114-91f8-11e9-9e4c-000d3a198845,5,S5,ASG000tlkn,2,0.92,0.0,0.08,0.0,0.0,zebra
S5/D02/D02_R1/S5_D02_R1_IMAG4422,S5/D02/D02_R1/S5_D02_R1_IMAG4422.JPG,3,SER_S5#D02#1#1580,2048,1536,False,D02,3,2012-07-13 12:37:26,../data/serengeti/images/S5_D02_R1_IMAG4422.JPG,1f8dce7b-91f8-11e9-8071-000d3a198845,5,S5,ASG000nrdn,2,0.8,0.0,0.0,0.8,0.0,zebra
S5/P05/P05_R3/S5_P05_R3_IMAG0476,S5/P05/P05_R3/S5_P05_R3_IMAG0476.JPG,2,SER_S5#P05#3#167,2048,1536,False,P05,3,2012-11-20 14:51:11,../data/serengeti/images/S5_P05_R3_IMAG0476.JPG,237c6dc1-91f8-11e9-8ab8-000d3a198845,5,S5,ASG000slea,3,0.4,0.0,0.4,0.9,0.0,zebra
S5/D10/D10_R1/S5_D10_R1_IMAG1764,S5/D10/D10_R1/S5_D10_R1_IMAG1764.JPG,1,SER_S5#D10#1#612,2560,1920,False,D10,3,2012-06-15 12:55:59,../data/serengeti/images/S5_D10_R1_IMAG1764.JPG,1fdd4e63-91f8-11e9-b283-000d3a198845,5,S5,ASG000o75h,1,0.4,0.0,0.1,0.0,0.0,zebra
S2/E08/E08_R3/S2_E08_R3_IMAG0169,S2/E08/E08_R3/S2_E08_R3_IMAG0169.JPG,1,SER_S2#E08#3#111,2048,1536,False,E08,1,2011-05-21 20:33:29,../data/serengeti/images/S2_E08_R3_IMAG0169.JPG,14baa9ba-91f8-11e9-8787-000d3a198845,5,S2,ASG0004igt,3,0.42,0.0,0.0,0.0,0.0,zebra
S2/F05/F05_R1/S2_F05_R1_IMAG0683,S2/F05/F05_R1/S2_F05_R1_IMAG0683.JPG,3,SER_S2#F05#1#239,2048,1536,False,F05,3,2011-04-20 10:53:49,../data/serengeti/images/S2_F05_R1_IMAG0683.JPG,14f87463-91f8-11e9-a43f-000d3a198845,5,S2,ASG0004s5p,3,0.33,0.08,0.17,0.0,0.0,zebra
S4/T10/T10_R2/S4_T10_R2_IMAG0431,S4/T10/T10_R2/S4_T10_R2_IMAG0431.JPG,1,SER_S4#T10#2#181,2048,1536,False,T10,3,2012-03-03 06:48:32,../data/serengeti/images/S4_T10_R2_IMAG0431.JPG,1e83150b-91f8-11e9-8bca-000d3a198845,5,S4,ASG000df9s,10,0.38,0.1,0.07,0.03,0.07,zebra
S2/M09/M09_R3/S2_M09_R3_IMAG0350,S2/M09/M09_R3/S2_M09_R3_IMAG0350.JPG,1,SER_S2#M09#3#132,2048,1536,False,M09,3,2011-07-14 07:01:16,../data/serengeti/images/S2_M09_R3_IMAG0350.JPG,170c392a-91f8-11e9-b154-000d3a198845,5,S2,ASG0007tze,5,0.21,0.07,0.71,0.0,0.0,zebra
S2/V10/V10_R3/S2_V10_R3_PICT0462,S2/V10/V10_R3/S2_V10_R3_PICT0462.JPG,3,SER_S2#V10#3#154,2048,1536,False,V10,3,2011-05-26 12:36:58,../data/serengeti/images/S2_V10_R3_PICT0462.JPG,17f84878-91f8-11e9-9491-000d3a198845,5,S2,ASG00074ys,2,1.0,0.0,0.0,0.0,0.0,zebra
S3/H06/H06_R12/S3_H06_R12_IMAG0081,S3/H06/H06_R12/S3_H06_R12_IMAG0081.JPG,3,SER_S3#H06#12#32,2048,1536,False,H06,3,2011-11-15 06:25:05,../data/serengeti/images/S3_H06_R12_IMAG0081.JPG,19034fbb-91f8-11e9-8db7-000d3a198845,5,S3,ASG0009qt8,1,0.0,0.0,0.12,0.06,0.0,zebra
S1/J05/J05_R4/S1_J05_R4_PICT0470,S1/J05/J05_R4/S1_J05_R4_PICT0470.JPG,1,SER_S1#J05#4#158,2048,1536,False,J05,3,2010-10-20 06:29:32,../data/serengeti/images/S1_J05_R4_PICT0470.JPG,126c9ac4-91f8-11e9-a842-000d3a198845,5,S1,ASG0001e31,1,0.1,0.0,0.95,0.0,0.0,zebra
S5/C06/C06_R1/S5_C06_R1_IMAG1137,S5/C06/C06_R1/S5_C06_R1_IMAG1137.JPG,1,SER_S5#C06#1#580,2048,1536,False,C06,3,2012-06-14 08:12:44,../data/serengeti/images/S5_C06_R1_IMAG1137.JPG,1f44929f-91f8-11e9-baaf-000d3a198845,5,S5,ASG000nfda,2,0.6,0.0,0.1,0.0,0.0,zebra
S3/U10/U10_R12/S3_U10_R12_IMAG1259,S3/U10/U10_R12/S3_U10_R12_IMAG1259.JPG,3,SER_S3#U10#12#461,2048,1536,False,U10,3,2011-12-09 07:16:28,../data/serengeti/images/S3_U10_R12_IMAG1259.JPG,1ae7520d-91f8-11e9-a363-000d3a198845,5,S3,ASG000b34t,2,0.27,0.0,0.8,0.0,0.0,zebra
